Id, Situacao, qntElementos, Média, espaçoVazio
442,alocado,81,27292,2210657
443,alocado,81,26886,2177772
444,alocado,81,26665,2159881
371,liberado,81,25926,2100067
445,alocado,82,26038,2135122
281,liberado,82,25797,2115420
68,liberado,81,26172,2120012
61,liberado,81,26966,2184256
262,liberado,82,27145,2225938
305,liberado,83,27245,2261354
129,liberado,84,27182,2283336
446,alocado,85,27427,2331346
447,alocado,85,27084,2302144
405,liberado,85,27004,2295409
448,alocado,85,27176,2309986
191,liberado,85,26969,2292366
449,alocado,86,26959,2318535
105,liberado,86,26803,2305105
50,liberado,86,27189,2338323
450,alocado,86,27260,2344399
451,alocado,86,27174,2336996
344,liberado,86,26915,2314768
214,liberado,87,27037,2352231
442,liberado,87,27421,2385654
452,alocado,87,27799,2418539
453,alocado,87,27418,2385377
180,liberado,87,27092,2357019
311,liberado,88,27225,2395847
447,liberado,88,27753,2442339
59,liberado,88,27830,2449074
454,alocado,88,28129,2475432
75,liberado,88,27412,2412275
119,liberado,89,27325,2431968
455,alocado,90,27152,2443727
456,alocado,90,26810,2412913
290,liberado,90,26479,2383156
409,liberado,91,26873,2445444
34,liberado,91,27362,2489967
181,liberado,91,27736,2524048
457,alocado,91,28292,2574626
458,alocado,91,28206,2566805
459,alocado,91,27645,2515762
460,alocado,91,27493,2501873
137,liberado,91,27283,2482829
461,alocado,91,27829,2532528
314,liberado,91,27266,2481245
99,liberado,91,27339,2487932
462,alocado,92,27432,2523782
463,alocado,92,27308,2512400
445,liberado,92,26710,2457377
464,alocado,92,26924,2477079
120,liberado,92,26812,2466767
11,liberado,92,27246,2506688
465,alocado,92,27417,2522418
386,liberado,92,27000,2484014
466,alocado,92,27086,2491916
333,liberado,92,26955,2479886
352,liberado,91,27709,2521537
70,liberado,92,27725,2550759
467,alocado,92,28058,2581401
63,liberado,92,27977,2573923
93,liberado,91,28704,2612080
468,alocado,91,28999,2638935
469,alocado,91,28686,2610466
341,liberado,91,28086,2555908
199,liberado,92,27829,2560333
470,alocado,92,28301,2603738
471,alocado,92,28035,2579302
426,liberado,92,27850,2562235
51,liberado,93,28203,2622949
472,alocado,93,28539,2654217
473,alocado,93,28465,2647328
474,alocado,93,28302,2632127
381,liberado,93,28207,2623305
52,liberado,92,28812,2650778
475,alocado,92,28932,2661782
476,alocado,92,28313,2604844
477,alocado,92,28309,2604481
76,liberado,92,27875,2564520
35,liberado,92,28080,2583415
478,alocado,92,28408,2613572
479,alocado,92,28241,2598220
480,alocado,92,27912,2567913
481,alocado,92,27356,2516787
264,liberado,92,26964,2480748
372,liberado,92,27092,2492508
482,alocado,92,27297,2511363
176,liberado,92,27079,2491271
483,alocado,92,27166,2499362
484,alocado,92,26684,2455007
256,liberado,92,26181,2408733
485,alocado,92,26760,2461949
486,alocado,92,26378,2426855
487,alocado,92,26214,2411697
203,liberado,92,25669,2361629
488,alocado,92,26120,2403093
138,liberado,92,25920,2384661
406,liberado,92,25932,2385821
6,liberado,92,26368,2425856
9,liberado,92,26944,2478928
365,liberado,92,27433,2523865
94,liberado,93,27796,2585052
489,alocado,93,28465,2647246
490,alocado,93,28402,2641443
358,liberado,93,28369,2638339
491,alocado,94,28292,2659514
492,alocado,94,28002,2632265
493,alocado,94,27641,2598282
494,alocado,94,27157,2552796
495,alocado,94,26837,2522743
496,alocado,94,26355,2477424
497,alocado,94,26027,2446579
150,liberado,94,25886,2433295
87,liberado,94,26231,2465761
108,liberado,94,26277,2470109
498,alocado,94,26734,2513064
499,alocado,94,26343,2476255
374,liberado,94,25921,2436657
500,alocado,94,26214,2464133
501,alocado,94,26134,2456681
159,liberado,94,25588,2405317
353,liberado,94,26065,2450167
502,alocado,94,26509,2491928
448,liberado,94,26136,2456847
503,alocado,94,26324,2474467
504,alocado,94,25797,2424981
505,alocado,94,25350,2382961
506,alocado,94,25264,2374826
507,alocado,94,24982,2348323
508,alocado,94,24645,2316657
509,alocado,94,24291,2283403
510,alocado,94,24190,2273952
511,alocado,94,23635,2221747
292,liberado,94,23215,2182300
512,alocado,95,23129,2197349
513,alocado,95,23013,2186293
177,liberado,95,22858,2171583
53,liberado,95,23240,2207884
65,liberado,95,23901,2270618
514,alocado,95,24195,2298571
7,liberado,95,23862,2266969
296,liberado,95,24195,2298589
515,alocado,95,24586,2335715
513,liberado,95,24544,2331728
228,liberado,94,24962,2346438
78,liberado,94,25494,2396501
95,liberado,94,26028,2446648
499,liberado,94,26104,2453797
407,liberado,93,26810,2493395
182,liberado,93,26950,2506415
516,alocado,93,27207,2530338
502,liberado,93,26906,2502336
517,alocado,93,27284,2537417
151,liberado,93,27216,2531179
204,liberado,93,27766,2582275
518,alocado,94,27541,2588904
519,alocado,94,27430,2578463
520,alocado,94,27139,2551099
521,alocado,94,26910,2529576
522,alocado,94,26485,2489651
523,alocado,94,25998,2443842
340,liberado,94,25424,2389881
504,liberado,94,25988,2442905
524,alocado,94,26435,2484925
525,alocado,94,26224,2465085
80,liberado,94,26185,2461409
526,alocado,94,26767,2516184
527,alocado,94,26444,2485800
183,liberado,94,26021,2446005
141,liberado,94,26468,2488002
220,liberado,93,26811,2493515
528,alocado,93,27467,2554432
529,alocado,93,27368,2545239
324,liberado,93,26829,2495099
530,alocado,92,27381,2519107
293,liberado,91,27649,2516083
531,alocado,92,27620,2541051
532,alocado,92,27251,2507179
533,alocado,92,26686,2455189
260,liberado,92,26213,2411659
41,liberado,92,26278,2417640
154,liberado,92,26696,2456078
528,liberado,93,26587,2472654
354,liberado,93,26686,2481847
534,alocado,93,26798,2492304
535,alocado,93,26392,2454545
536,alocado,93,26388,2454121
14,liberado,93,26341,2449804
152,liberado,93,26676,2480882
537,alocado,94,26746,2514197
538,alocado,94,26397,2481320
223,liberado,94,26153,2458382
201,liberado,94,26364,2478305
539,alocado,94,26419,2483465
540,alocado,94,26202,2463037
541,alocado,94,25561,2402820
342,liberado,94,25460,2393271
542,alocado,94,25639,2410070
308,liberado,94,25438,2391240
543,alocado,94,25446,2391995
85,liberado,94,25018,2351734
544,alocado,95,24843,2360104
42,liberado,95,24310,2309458
160,liberado,95,24380,2316146
545,alocado,94,24690,2320929
297,liberado,94,24597,2312150
12,liberado,94,25016,2351510
546,alocado,93,25629,2383501
547,alocado,93,25069,2331418
548,alocado,93,24657,2293120
549,alocado,93,24135,2244587
550,alocado,93,23585,2193458
551,alocado,93,23464,2182185
552,alocado,93,23365,2172953
321,liberado,93,22744,2115206
369,liberado,94,22531,2117978
335,liberado,94,22989,2161005
261,liberado,95,22853,2171112
355,liberado,95,22888,2174417
553,alocado,96,22699,2179112
26,liberado,96,22147,2126162
554,alocado,96,22485,2158625
555,alocado,96,21917,2104033
529,liberado,96,21522,2066186
556,alocado,96,22045,2116326
557,alocado,96,21921,2104453
387,liberado,96,21853,2097936
558,alocado,97,21844,2118898
206,liberado,97,21574,2092727
350,liberado,96,22097,2121361
532,liberado,97,22192,2152662
97,liberado,98,22496,2204652
559,alocado,98,22879,2242143
560,alocado,98,22839,2238286
168,liberado,98,22452,2200357
561,alocado,97,22762,2208007
282,liberado,97,22417,2174517
446,liberado,98,22556,2210547
562,alocado,98,22854,2239749
408,liberado,98,22324,2187812
563,alocado,99,22186,2196452
564,alocado,99,21728,2151141
60,liberado,99,21633,2141708
16,liberado,99,22084,2186324
565,alocado,99,22281,2205911
566,alocado,99,22186,2196477
567,alocado,99,21963,2174365
234,liberado,99,21688,2147144
2,liberado,99,21706,2148910
568,alocado,100,21900,2190076
131,liberado,100,21403,2140318
569,alocado,100,21967,2196769
396,liberado,100,21477,2147787
570,alocado,101,21297,2151012
211,liberado,101,20713,2092026
71,liberado,102,20635,2104819
294,liberado,102,21226,2165067
571,alocado,103,21241,2187881
239,liberado,103,21030,2166169
118,liberado,103,21364,2200578
572,alocado,103,21677,2232794
193,liberado,103,21625,2227442
366,liberado,103,21781,2243527
573,alocado,104,21792,2266457
574,alocado,104,21720,2258916
401,liberado,104,21352,2220618
575,alocado,104,21517,2237823
23,liberado,104,21450,2230813
576,alocado,104,21809,2268222
577,alocado,104,21250,2210084
429,liberado,104,20773,2160409
578,alocado,104,21154,2200021
579,alocado,104,20949,2178742
190,liberado,104,20369,2118439
580,alocado,103,20671,2129178
581,alocado,103,20428,2104133
240,liberado,103,19878,2047499
142,liberado,103,20275,2088371
582,alocado,104,20372,2118731
574,liberado,104,20198,2100655
82,liberado,104,20566,2138953
161,liberado,104,20871,2170684
583,alocado,104,20959,2179837
194,liberado,104,20462,2128130
584,alocado,104,20919,2175651
585,alocado,104,20449,2126757
457,liberado,104,20213,2102187
586,alocado,105,20095,2110008
587,alocado,105,19612,2059262
588,alocado,105,19506,2048204
589,alocado,105,19266,2022944
590,alocado,105,19265,2022914
368,liberado,105,19255,2021825
74,liberado,105,19580,2055944
591,alocado,105,19713,2069964
592,alocado,105,19274,2023792
584,liberado,105,19043,1999605
593,alocado,105,19509,2048499
594,alocado,105,19078,2003221
